Well,Cycle,FAM
A8,3,3003.244629
A9,3,4096.032227
A10,3,-3877.684814
A11,3,-4563.051758
A12,3,-4242.991211
B1,3,1472.501221
B2,3,8687.130859
B3,3,8401.594727
B4,3,2569.784668
B5,3,4022.526123
B6,3,2534.304199
B7,3,4708.773438
B8,3,3692.765137
B9,3,7280.564941
B10,3,-5013.741211
B11,3,-4625.473145
B12,3,-4328.126465
C1,3,861.5861816
C2,3,3489.678955
C3,3,8517.306641
C4,3,4506.611328
C5,3,6003.71875
C6,3,4431.64502
C7,3,1605.022339
C8,3,-2328.626221
C9,3,-1999.240723
C10,3,-4389.698242
C11,3,-3900.965332
C12,3,-4004.619629
D1,3,-3208.971191
D2,3,1020.787598
D3,3,1517.268433
D4,3,1051.158325
D5,3,-3707.086914
D6,3,4042.674561
D7,3,-4476.774414
D8,3,-4753.174805
D9,3,525.6033936
D10,3,
D11,3,
D12,3,
E1,3,-4152.907715
E2,3,-3548.484619
E3,3,-3305.563965
E4,3,-3948.379883
E5,3,-4442.106934
E6,3,-3499.382568
E7,3,-4304.328125
E8,3,-3805.143066
E9,3,-2728.831543
E10,3,
E11,3,
E12,3,
F1,3,-3994.018799
F2,3,-3745.580566
F3,3,-3898.992432
F4,3,-4691.897461
F5,3,-4261.050781
F6,3,-4528.724609
F7,3,-4572.415039
F8,3,-4787.908691
F9,3,-3818.649414
F10,3,
F11,3,
F12,3,-4415.82959
G1,3,-4331.566895
G2,3,-4598.479004
G3,3,-4990.530762
G4,3,-3315.022949
G5,3,-5192.287598
G6,3,-4966.033691
G7,3,-4922.712891
G8,3,-4074.138916
G9,3,-4526.102051
G10,3,
G11,3,
G12,3,-4189.25
H1,3,-2497.244629
H2,3,-4397.161133
H3,3,-4075.924805
H4,3,-4664.800293
H5,3,-4487.206543
H6,3,-4903.074219
H7,3,-4581.249023
H8,3,-4794.273926
H9,3,-4342.484375
H10,3,
H11,3,
H12,3,-4435.945801
A1,4,10038.02148
A2,4,11806.84668
A3,4,9873.27832
A4,4,9204.603516
A5,4,7347.998047
A6,4,16344.87109
A7,4,4386.26123
A8,4,3843.9375
A9,4,5053.467285
A10,4,-3895.879395
A11,4,-4577.952637
A12,4,-4247.358398
B1,4,2073.04248
B2,4,9983.714844
B3,4,9421.256836
