Well,Cycle,FAM
G7,5,-4282.53418
G8,5,-3530.914551
G9,5,-4095.915283
G10,5,
G11,5,12007.91992
G12,5,
H1,5,-1643.711182
H2,5,-3904.511719
H3,5,-3405.100586
H4,5,-2496.124268
H5,5,-370.6860352
H6,5,-3086.960938
H7,5,-3950.462646
H8,5,-4293.230957
H9,5,-3852.509277
H10,5,
H11,5,23954.54492
H12,5,
A1,6,35212.19141
A2,6,17480.9668
A3,6,29566.55273
A4,6,-3836.431641
A5,6,-3848.866699
A6,6,-3228.108643
A7,6,-1719.043579
A8,6,-2184.016357
A9,6,-3764.314209
A10,6,-3139.640625
A11,6,8483.893555
A12,6,-3438.014893
B1,6,33907.22266
B2,6,27259.60547
B3,6,31262.62109
B4,6,-3771.89209
B5,6,-3752.776367
B6,6,-3814.35498
B7,6,-4066.794922
B8,6,-4271.071777
B9,6,-4026.571777
B10,6,-4344.208008
B11,6,16488.94531
B12,6,-3552.675293
C1,6,601.8040161
C2,6,932.8200073
C3,6,1493.129639
C4,6,-3654.015137
C5,6,-3573.206299
C6,6,-4302.657227
C7,6,-4274.931152
C8,6,-4125.45459
C9,6,-4394.128906
C10,6,-3891.563477
C11,6,-3647.030518
C12,6,-3338.280029
D1,6,30416.98828
D2,6,25443.36914
D3,6,32276.19141
D4,6,-4083.077393
D5,6,-3363.690186
D6,6,-4175.431152
D7,6,-4034.241943
D8,6,-4203.68457
D9,6,-4199.411133
D10,6,
D11,6,7898.762695
D12,6,
E1,6,23536.73438
E2,6,25380.47656
E3,6,30944.42188
E4,6,-3428.297852
E5,6,-1478.183228
E6,6,-2418.930908
E7,6,-4005.567383
E8,6,-3910.833984
E9,6,-4005.599365
E10,6,
E11,6,9127.551758
E12,6,
F1,6,28673.91016
F2,6,14131.63086
F3,6,35728.98438
F4,6,-2060.703857
F5,6,-2258.892578
F6,6,-2300.313965
F7,6,-3957.008301
F8,6,-4293.537109
F9,6,-3926.51416
F10,6,
F11,6,-3597.714355
F12,6,
G1,6,34320.91016
G2,6,33851.32031
G3,6,32341.08789
G4,6,-734.208374
G5,6,-3090.602051
G6,6,-2438.631104
G7,6,-4254.1875
G8,6,-3524.945313
G9,6,-4092.151855
G10,6,
G11,6,14062.21191
G12,6,
H1,6,-1637.725098
H2,6,-3920.712158
H3,6,-3412.476074
H4,6,-2166.057129
H5,6,297.6790161
H6,6,-2831.379639
H7,6,-3950.126953
H8,6,-4294.006836
H9,6,-3843.412109
H10,6,
H11,6,26497.52734
H12,6,
A1,7,37780.08984
A2,7,19458.7207
A3,7,32298.01758
A4,7,-3848.075195
A5,7,-3836.287109
A6,7,-3237.366455
A7,7,-1524.313232
A8,7,-1888.69873
A9,7,-3655.255127
A10,7,-3144.172607
A11,7,9926.164063
A12,7,-3438.212646
B1,7,36472.60156
B2,7,29942.85156
B3,7,33982.83203
B4,7,-3716.532715
B5,7,-3759.422852
B6,7,-3802.684326
B7,7,-4040.306641
B8,7,-4268.385742
B9,7,-4049.746094
B10,7,-4338.367676
B11,7,18518.23047
B12,7,-3544.684082
C1,7,1224.385132
C2,7,1498.882813
C3,7,2215.358398
C4,7,-3688.97168
C5,7,-3539.903809
C6,7,-4282.771484
C7,7,-4322.901855
C8,7,-4111.789063
C9,7,-4378.086914
C10,7,-3881.557617
C11,7,-3616.9729
C12,7,-3340.923096
D1,7,33218.03125
D2,7,28123.46484
D3,7,35113.72266
D4,7,-4073.787598
D5,7,-3316.483643
D6,7,-4157.847168
D7,7,-4052.739746
D8,7,-4191.765625
D9,7,-4193.693848
D10,7,
D11,7,9413.043945
D12,7,
E1,7,26125.86133
E2,7,28225.42578
E3,7,33698.44531
E4,7,-3263.982422
E5,7,-1042.252563
E6,7,-2118.525635
E7,7,-3963.516602
E8,7,-3892.76123
E9,7,-3986.698242
E10,7,
E11,7,10583.52734
E12,7,
F1,7,31446.95117
F2,7,16112.63379
F3,7,38658.67578
F4,7,-1669.42749
F5,7,-2018.621582
F6,7,-1993.112549
F7,7,-3905.910645
F8,7,-4268.714844
F9,7,-3932.787842
F10,7,
F11,7,-3589.067383
F12,7,
G1,7,37155.84375
G2,7,36622.16016
G3,7,34966.98438
G4,7,-381.729187
G5,7,-2797.518555
G6,7,-2128.354492
G7,7,-4303.69873
