Well,Cycle,FAM
F10,2,
F11,2,
F12,2,
G1,2,-4311.88916
G2,2,-4635.232422
G3,2,-4727.310059
G4,2,-3582.15332
G5,2,-5033.039551
G6,2,-4749.60498
G7,2,
G8,2,
G9,2,
G10,2,
G11,2,
G12,2,
H1,2,-2368.907715
H2,2,-4630.910156
H3,2,-4137.214844
H4,2,-4731.5625
H5,2,-4501.186035
H6,2,-4923.703125
H7,2,
H8,2,
H9,2,
H10,2,
H11,2,
H12,2,
A1,3,17620.58984
A2,3,11773.86816
A3,3,17552.375
A4,3,-4575.759277
A5,3,-4499.709961
A6,3,-4319.134766
A7,3,-3762.528809
A8,3,-4499.003906
A9,3,
A10,3,
A11,3,
A12,3,
B1,3,17017.54688
B2,3,18401.08008
B3,3,16470.59961
B4,3,-4245.325195
B5,3,-4165.681152
B6,3,-4454.913574
B7,3,-4624.48877
B8,3,-4812.58252
B9,3,
B10,3,
B11,3,
B12,3,
C1,3,16248.74609
C2,3,17170.04297
C3,3,13561.77051
C4,3,-4112.431641
C5,3,-3764.168457
C6,3,-4771.660645
C7,3,-4726.276855
C8,3,-4586.875
C9,3,
C10,3,
C11,3,
C12,3,
D1,3,15925.69922
D2,3,18581.86719
D3,3,13452.93262
D4,3,-4453.323242
D5,3,-3797.947998
D6,3,-4569.842285
D7,3,-4545.832031
D8,3,
D9,3,
D10,3,
D11,3,
D12,3,
E1,3,18027.15625
E2,3,13371.19531
E3,3,15243.47266
E4,3,-4396.135254
E5,3,-4472.058105
E6,3,-4450.587891
E7,3,-4345.932617
E8,3,
E9,3,
E10,3,
E11,3,
E12,3,
F1,3,-4001.649902
F2,3,-3637.341064
F3,3,-4077.305176
F4,3,-4476.182617
F5,3,-4169.304688
F6,3,-4382.221191
F7,3,-4387.181641
F8,3,
F9,3,
F10,3,
F11,3,
F12,3,
G1,3,-4311.312988
G2,3,-4640.047363
G3,3,-4721.262695
G4,3,-3597.69043
G5,3,-5037.123535
G6,3,-4733.946289
G7,3,
G8,3,
G9,3,
G10,3,
G11,3,
G12,3,
H1,3,-2368.493652
H2,3,-4634.37793
H3,3,-4153.347656
H4,3,-4753.177246
H5,3,-4522.270508
H6,3,-4922.279785
H7,3,
H8,3,
H9,3,
H10,3,
H11,3,
H12,3,
A1,4,18421.63281
A2,4,13299.39355
A3,4,18571.66797
A4,4,-4572.323242
A5,4,-4495.81543
A6,4,-4324.328125
A7,4,-3756.652832
A8,4,-4500.477539
A9,4,
A10,4,
A11,4,
A12,4,
B1,4,18199.05273
B2,4,19345.80078
B3,4,17555.30078
B4,4,-4216.899414
B5,4,-4169.118164
B6,4,-4439.59082
B7,4,-4632.03418
B8,4,-4798.555664
B9,4,
B10,4,
B11,4,
B12,4,
C1,4,17441.91602
C2,4,18259.71289
C3,4,14724.00098
C4,4,-4130.458984
C5,4,-3694.658203
C6,4,-4766.24707
C7,4,-4740.578125
C8,4,-4596.060547
C9,4,
C10,4,
C11,4,
C12,4,
D1,4,16670.02734
D2,4,19580.25
D3,4,14816.08203
D4,4,-4452.129883
D5,4,-3788.321289
D6,4,-4564.282715
D7,4,-4559.245605
D8,4,
D9,4,
D10,4,
D11,4,
D12,4,
E1,4,18904.73047
E2,4,14656.71777
E3,4,16881.62109
E4,4,-4368.941406
E5,4,-4480.197266
E6,4,-4436.848145
E7,4,-4343.585938
E8,4,
E9,4,
E10,4,
E11,4,
E12,4,
F1,4,-4006.625732
F2,4,-3639.57251
F3,4,-4061.312988
F4,4,-4454.599609
F5,4,-4151.328125
F6,4,-4337.801758
F7,4,-4377.745117
F8,4,
F9,4,
F10,4,
F11,4,
F12,4,
G1,4,-4310.665039
G2,4,-4631.334961
G3,4,-4722.948242
