Well,Cycle,FAM,ROX
E4,6,-669.4006958,-1682.427246
E5,6,-865.0968018,-1636.355225
E6,6,-65.24160767,-1666.154053
E7,6,-1749.350098,-1620.520508
E8,6,-1588.959106,-1372.542358
E9,6,-1082.326538,-766.9793701
E10,6,,
E11,6,,
E12,6,,
F1,6,-1164.919189,-1574.621094
F2,6,-412.5056152,-1358.234741
F3,6,-1093.050781,-1425.802856
F4,6,-1380.618896,-1572
F5,6,-1362.20752,-1533.681885
F6,6,-1311.609985,-1643.913086
F7,6,-1705.908447,-1589.19873
F8,6,-1964.713257,-1747.086426
F9,6,-1626.689575,-1411.780518
F10,6,,
F11,6,,
F12,6,,
G1,6,-1681.126465,-1723.463013
G2,6,-1673.488525,-1758.155029
G3,6,-1750.79541,-1674.586914
G4,6,-1564.726807,-1424.853149
G5,6,-2004.206787,-2190.129395
G6,6,-1855.568115,-1796.016357
G7,6,-1670.813843,-1597.006592
G8,6,-1260.767578,-770.7709351
G9,6,-1771.524292,-1572.17041
G10,6,,
G11,6,,
G12,6,,
H1,6,-909.4299927,-713.7567139
H2,6,-1790.101563,-1681.789673
H3,6,-1564.983765,-1517.693359
H4,6,-1866.415161,-1762.581055
H5,6,-1722.720215,-1622.356323
H6,6,-1737.872559,-1652.384766
H7,6,-1668.324585,-1537.169922
H8,6,-1948.364258,-1683.072266
H9,6,-1702.402588,-1510.452759
H10,6,,
H11,6,,
H12,6,,
A1,7,1181.380005,-1511.339111
A2,7,2849.781982,-334.565033
A3,7,3283.277588,-1615.966064
A4,7,1635.859253,-1680.633667
A5,7,3736.97583,-1483.767212
A6,7,3302.763916,-1648.838135
A7,7,134.1094818,-1363.685059
A8,7,541.4286499,-1511.169189
A9,7,-178.0854797,-1721.699707
A10,7,-1458.167603,-1387.180664
A11,7,,
A12,7,,
B1,7,9852.891602,-1559.718384
B2,7,2009.140015,-1295.009033
B3,7,3391.333496,-1712.647461
B4,7,1844.445557,-1651.676636
B5,7,2336.973389,-1322.53064
B6,7,3991.619385,-1797.308105
B7,7,223.2783356,-1676.161499
B8,7,1631.316284,-1779.072144
B9,7,-1561.201538,-1424.528687
B10,7,-1808.286865,-1752.397339
B11,7,,
B12,7,,
C1,7,2222.346191,-1503.325684
C2,7,2705.601563,-1456.701904
C3,7,1360.627075,-1440.099121
C4,7,1181.262451,-1594.949707
C5,7,504.2509155,-1660.189575
C6,7,2149.398193,-1741.647461
C7,7,136.218277,-1689.550903
C8,7,532.2780762,-1737.647095
C9,7,-795.8985596,-1730.97522
C10,7,-1658.882446,-1501.258057
C11,7,,
C12,7,,
D1,7,2272.7854,-1535.636963
D2,7,2126.317139,-1236.576904
D3,7,654.9197388,-1568.099487
D4,7,-612.9157715,-1618.686646
D5,7,354.5805664,-1642.901123
D6,7,2018.384033,-1794.266113
D7,7,-740.3545532,-1513.166626
D8,7,-1488.295654,-1668.048096
D9,7,-1749.618652,-1722.934448
D10,7,,
D11,7,,
D12,7,,
E1,7,394.28125,-1605.114624
E2,7,329.7785645,-1620.647827
E3,7,570.6040649,-1593.116211
E4,7,-437.6656494,-1664.635376
E5,7,-707.6541138,-1635.576172
E6,7,270.9281311,-1668.12439
E7,7,-1763.056396,-1616.092529
E8,7,-1594.534912,-1385.97998
E9,7,-1112.221436,-782.7592163
E10,7,,
E11,7,,
E12,7,,
F1,7,-1065.495239,-1579.810913
F2,7,-210.757431,-1352.336914
F3,7,-1027.498413,-1417.205444
F4,7,-1303.205566,-1583.182251
F5,7,-1294.212524,-1534.228638
F6,7,-1221.377075,-1651.755249
F7,7,-1704.879028,-1584.985962
F8,7,-1950.361328,-1735.378052
F9,7,-1627.652466,-1411.054199
F10,7,,
F11,7,,
F12,7,,
G1,7,-1679.328369,-1722.380737
G2,7,-1683.27356,-1763.33606
G3,7,-1752.929199,-1682.466431
G4,7,-1562.317383,-1429.741821
G5,7,-2008.776001,-2185.574219
G6,7,-1860.838257,-1801.619141
G7,7,-1674.589233,-1599.359497
G8,7,-1275.9823,-783.852478
G9,7,-1768.955322,-1565.575317
G10,7,,
G11,7,,
G12,7,,
H1,7,-918.8604736,-712.9447021
H2,7,-1793.173462,-1686.384644
H3,7,-1564.232056,-1528.698975
H4,7,-1869.900024,-1782.035522
H5,7,-1721.509521,-1634.186157
H6,7,-1736.16626,-1654.897827
H7,7,-1673.409058,-1530.602783
H8,7,-1953.373047,-1691.141846
H9,7,-1709.681641,-1520.541382
H10,7,,
H11,7,,
H12,7,,
A1,8,1591.998779,-1524.775879
A2,8,3365.791992,-352.9674377
A3,8,3926.603027,-1638.233154
A4,8,2121.420898,-1700.587891
A5,8,4427.209473,-1493.189941
A6,8,4000.022949,-1684.519531
A7,8,431.1654053,-1376.955811
A8,8,893.5265503,-1529.800171
A9,8,109.5275345,-1726.468384
A10,8,-1458.069824,-1357.28064
A11,8,,
A12,8,,
B1,8,10972.56543,-1587.878662
B2,8,2496.506348,-1293.098633
B3,8,4095.110352,-1714.343018
B4,8,2417.100098,-1639.971924
B5,8,2865.017822,-1338.992554
B6,8,4824.124512,-1808.172607
B7,8,581.4806519,-1681.22522
B8,8,2191.701904,-1780.238159
B9,8,-1553.422974,-1417.019043
B10,8,-1821.593628,-1759.859619
B11,8,,
B12,8,,
C1,8,2745.797607,-1525.925537
C2,8,3296.867676,-1468.366699
C3,8,1768.560913,-1462.080078
C4,8,1582.743164,-1607.120239
C5,8,882.8597412,-1672.376343
C6,8,2739.804688,-1768.137695
C7,8,468.8400574,-1678.68457
C8,8,919.4553833,-1745.927246
C9,8,-588.2324219,-1729.909424
C10,8,-1655.929321,-1494.16626
C11,8,,
C12,8,,
D1,8,2825.445801,-1545.460205
D2,8,2636.680664,-1232.300415
D3,8,1022.771545,-1565.480103
D4,8,-407.3522644,-1634.504028
D5,8,692.4673462,-1648.208862
D6,8,2578.737061,-1796.032837
D7,8,-584.9150391,-1529.197388
D8,8,-1436.63855,-1674.633057
D9,8,-1741.733887,-1718.513916
D10,8,,
D11,8,,
D12,8,,
E1,8,732.340332,-1601.483276
E2,8,662.119873,-1622.555298
E3,8,939.6222534,-1597.999756
E4,8,-176.7038879,-1661.091431
E5,8,-531.8734131,-1638.94043
E6,8,635.5576782,-1678.950317
E7,8,-1761.292114,-1610.564453
E8,8,-1590.914429,-1374.442749
E9,8,-1137.918823,-787.9667969
E10,8,,
E11,8,,
E12,8,,
F1,8,-960.1971436,-1579.161987
F2,8,-16.34760666,-1353.163086
F3,8,-959.1008301,-1424.179443
F4,8,-1207.929932,-1583.181641
F5,8,-1232.860474,-1537.596924
F6,8,-1124.682739,-1645.402466
F7,8,-1714.520142,-1587.245483
F8,8,-1944.079102,-1743.079956
F9,8,-1638.282349,-1414.739746
F10,8,,
F11,8,,
F12,8,,
G1,8,-1673.272583,-1743.328247
G2,8,-1678.32251,-1764.893799
G3,8,-1747.340942,-1674.589966
G4,8,-1568.728638,-1421.222046
G5,8,-2003.55542,-2191.134766
G6,8,-1855.196289,-1795.061279
G7,8,-1676.924561,-1595.008789
G8,8,-1277.926636,-808.2750854
G9,8,-1767.484253,-1571.438965
G10,8,,
G11,8,,
G12,8,,
H1,8,-933.3052979,-736.005188
H2,8,-1792.567017,-1678.273682
H3,8,-1570.768433,-1516.093994
H4,8,-1881.358521,-1777.470703
H5,8,-1728.83374,-1629.862305
H6,8,-1741.501587,-1659.242676
H7,8,-1675.282227,-1536.815674
H8,8,-1949.49707,-1695.515015
H9,8,-1707.977661,-1518.050659
H10,8,,
H11,8,,
H12,8,,
A1,9,1985.174561,-1540.40979
A2,9,3846.402344,-360.763916
A3,9,4524.577637,-1642.623657
A4,9,2580.529785,-1703.510986
A5,9,5087.035156,-1494.569336
A6,9,4726.580566,-1676.649292
A7,9,732.6746826,-1380.967773
A8,9,1348.543701,-1459.500977
A9,9,414.5119019,-1734.64856
A10,9,-1466.005005,-1379.060791
A11,9,,
A12,9,,
B1,9,11963.66113,-1599.006836
B2,9,2953.273193,-1309.279785
B3,9,4741.668945,-1717.670898
B4,9,2910.550537,-1649.621094
B5,9,3385.402588,-1333.951538
B6,9,5589.331055,-1807.401733
B7,9,929.8929443,-1685.780151
B8,9,2746.0979,-1787.703735
B9,9,-1550.334106,-1429.475586
B10,9,-1815.567505,-1766.861572
B11,9,,
B12,9,,
C1,9,3230.160645,-1543.286743
C2,9,3847.473145,-1477.049316
C3,9,2215.20874,-1460.7771
C4,9,2018.146973,-1615.003174
C5,9,1235.901489,-1677.31604
C6,9,3343.335449,-1767.882568
C7,9,821.5247803,-1688.084351
C8,9,1329.643555,-1760.607788
C9,9,-384.3576965,-1748.446045
C10,9,-1653.535278,-1496.226196
C11,9,,
C12,9,,
D1,9,3326.078125,-1540.257324
D2,9,3131.377686,-1244.30603
D3,9,1388.550781,-1580.05542
D4,9,-193.1526184,-1629.296021
D5,9,1024.336426,-1653.562744
D6,9,3148.592773,-1804.625366
D7,9,-409.8402405,-1556.96521
D8,9,-1366.28125,-1671.704346
D9,9,-1724.850952,-1729.923218
D10,9,,
D11,9,,
D12,9,,
E1,9,1049.76709,-1616.251099
E2,9,993.5476685,-1623.207031
E3,9,1310.039795,-1604.442627
E4,9,90.49819183,-1669.650635
E5,9,-359.5865173,-1654.76123
E6,9,967.7662354,-1679.719482
E7,9,-1756.149902,-1628.60083
E8,9,-1599.954712,-1365.880615
E9,9,-1147.5802,-810.4747314
E10,9,,
E11,9,,
E12,9,,
F1,9,-854.1205444,-1597.865234
F2,9,224.2014923,-1342.393433
F3,9,-877.3939209,-1433.961792
F4,9,-1124.608887,-1599.45105
F5,9,-1143.348145,-1519.944702
F6,9,-1027.791626,-1642.169434
F7,9,-1709.354736,-1605.661987
F8,9,-1942.972412,-1741.836792
F9,9,-1632.176025,-1418.195923
F10,9,,
F11,9,,
F12,9,,
G1,9,-1668.381714,-1736.091919
G2,9,-1688.434082,-1765.466553
G3,9,-1751.241577,-1691.514526
G4,9,-1575.324707,-1424.446899
G5,9,-2004.089355,-2201.47876
G6,9,-1866.434204,-1797.456665
G7,9,-1682.008911,-1603.750732
G8,9,-1288.055664,-815.3560791
G9,9,-1770.734497,-1567.19751
G10,9,,
G11,9,,
G12,9,,
H1,9,-936.0425415,-725.8949585
H2,9,-1797.114136,-1678.857422
H3,9,-1565.475098,-1540.234253
H4,9,-1882.800049,-1771.631348
H5,9,-1727.66272,-1624.327881
H6,9,-1747.250732,-1666.030518
H7,9,-1675.399658,-1530.792725
H8,9,-1950.963989,-1692.912109
H9,9,-1709.48291,-1522.948242
H10,9,,
H11,9,,
H12,9,,
