Well,Cycle,Target_Name,Rn,?Rn,
A3,35,OP3,-2.673829556,-0.275428444,
A3,36,OP3,-2.673137188,-0.275391579,
A3,37,OP3,-2.69475317,-0.297663033,
A3,38,OP3,-2.694585323,-0.298150688,
A3,39,OP3,-2.718487501,-0.322708368,
A3,40,OP3,-2.752847433,-0.357723802,
A3,41,OP3,-2.759508848,-0.36504069,
A3,42,OP3,-2.749818563,-0.356005907,
A3,43,OP3,-2.822977066,-0.429819912,
A3,44,OP3,-2.795621634,-0.403119952,
A3,45,OP3,-2.805310726,-0.413464546,
A3,46,OP3,-2.827029467,-0.435838789,
A3,47,OP3,-2.851971626,-0.461436421,
A3,48,OP3,-2.839911938,-0.450032234,
A3,49,OP3,-2.899114847,-0.509890616,
A3,50,OP3,-2.88269043,-0.494121701,
A3,51,OP3,-2.901948452,-0.514035225,
A3,52,OP3,-2.914139748,-0.526881993,
A3,53,OP3,-2.920188665,-0.533586443,
A3,54,OP3,-2.941150427,-0.555203676,
A3,55,OP3,-2.926057339,-0.54076606,
A3,56,OP3,-2.953614473,-0.568978727,
A3,57,OP3,-2.98373723,-0.599756956,
A3,58,OP3,-2.990785837,-0.607461035,
A3,59,OP3,-3.014823675,-0.632154405,
A3,60,OP3,-2.999402761,-0.617388964,
A3,61,OP3,-3.039972782,-0.658614457,
A3,62,OP3,-3.064644337,-0.683941543,
A3,63,OP3,-3.080963612,-0.70091629,
A3,64,OP3,-3.088068008,-0.708676159,
A3,65,OP3,-3.104657173,-0.725920856,
A3,66,OP3,-3.10442543,-0.726344585,
A3,67,OP3,-3.126270533,-0.74884516,
A3,68,OP3,-3.171950579,-0.795180738,
A3,69,OP3,-3.177436829,-0.80132246,
A3,70,OP3,-3.173754215,-0.798295319,
A3,71,OP3,-3.15780735,-0.783003986,
A3,72,OP3,-3.192832947,-0.818685055,
A3,73,OP3,-3.191174746,-0.817682326,
A3,74,OP3,-3.215231419,-0.842394531,
A3,75,OP3,-3.220008135,-0.847826719,
A3,76,OP3,-3.248646021,-0.877120137,
A3,77,OP3,-3.212836981,-0.841966569,
A3,78,OP3,-3.261799097,-0.891584158,
A3,79,OP3,-3.285727739,-0.916168332,
A3,80,OP3,-3.279800177,-0.910896242,
A3,81,OP3,-3.304949045,-0.936700583,
A3,82,OP3,-3.295474052,-0.927881122,
A3,83,OP3,-3.326991081,-0.960053623,
A3,84,OP3,-3.315648556,-0.94936657,
A3,85,OP3,-3.349929571,-0.984303117,
A3,86,OP3,-3.370850325,-1.005879283,
A3,87,OP3,-3.409920692,-1.045605183,
A3,88,OP3,-3.404855013,-1.041195035,
A3,89,OP3,-3.381193399,-1.018188834,
A3,90,OP3,-3.400782108,-1.038433075,
A3,91,OP3,-3.39832592,-1.036632419,
A3,92,OP3,-3.440335512,-1.079297423,
A3,93,OP3,-3.457022905,-1.096640348,
A3,94,OP3,-3.457101822,-1.097374797,
A3,95,OP3,-3.467744112,-1.1086725,
A3,96,OP3,-3.480350971,-1.121934891,
A3,97,OP3,-3.487895727,-1.130135179,
A3,98,OP3,-3.523098946,-1.165993929,
A3,99,OP3,-3.536766529,-1.180316925,
A3,100,OP3,-3.531546116,-1.175752044,
A3,101,OP3,-3.535678148,-1.180539608,
A3,102,OP3,-3.559216022,-1.204732895,
A3,103,OP3,-3.572604895,-1.218777299,
A3,104,OP3,-3.591609001,-1.238436937,
A3,105,OP3,-3.597846746,-1.245330095,
A3,106,OP3,-3.617828369,-1.26596725,
A3,107,OP3,-3.658823252,-1.307617664,
A3,108,OP3,-3.625738382,-1.275188208,
A3,109,OP3,-3.661374092,-1.311479449,
A3,110,OP3,-3.680651665,-1.331412554,
A3,111,OP3,-3.67377615,-1.325192451,
A3,112,OP3,-3.708650112,-1.360721946,
A3,113,OP3,-3.66118598,-1.313913345,
A3,114,OP3,-3.683722258,-1.337105036,
A3,115,OP3,-3.721752644,-1.375790954,
A3,116,OP3,-3.704362392,-1.359056234,
A3,117,OP3,-3.709003925,-1.36435318,
A3,118,OP3,-3.744407177,-1.400411963,
A3,119,OP3,-3.743168354,-1.399828672,
A3,120,OP3,-3.750369549,-1.40768528,
A4,1,OP4,-7.990347862,-0.658789873,
A4,2,OP4,-7.62977457,-0.177977949,
A4,3,OP4,-7.596251965,-0.02421673,
A4,4,OP4,-7.66121912,0.031054724,
A4,5,OP4,-7.885314941,-0.072802484,
A4,6,OP4,-7.996303558,-0.063552491,
A4,7,OP4,-7.982734203,0.070255473,
A4,8,OP4,-8.159229279,0.013999009,
A4,9,OP4,-8.155795097,0.137671799,
A4,10,OP4,-8.410787582,0.002917926,
A4,11,OP4,-8.533889771,5.4349E-05,
A4,12,OP4,-8.66302681,-0.008844079,
A4,13,OP4,-8.928750038,-0.154328704,
A4,14,OP4,-8.811348915,0.083311036,
A4,15,OP4,-9.030418396,-0.015519834,
A4,16,OP4,-9.171437263,-0.036300089,
A4,17,OP4,-9.313792229,-0.058416445,
A4,18,OP4,-9.267414093,0.108200304,
A4,19,OP4,-9.419188499,0.076664507,
A4,20,OP4,-9.561763763,0.054327853,
A4,21,OP4,-9.730229378,0.006100848,
A4,22,OP4,-9.696787834,0.159781009,
A4,23,OP4,-9.959452629,0.017354818,
A4,24,OP4,-10.00834084,0.088705219,
A4,25,OP4,-10.02814388,0.189140782,
A4,26,OP4,-10.33879089,-0.001267614,
A4,27,OP4,-10.44040871,0.017353185,
A4,28,OP4,-10.43631935,0.14168115,
A4,29,OP4,-10.54222393,0.156015188,
A4,30,OP4,-10.71887207,0.09960565,
A4,31,OP4,-10.7824831,0.156233236,
A4,32,OP4,-10.88929939,0.169655547,
A4,33,OP4,-10.9207468,0.258446753,
A4,34,OP4,-11.06384182,0.235590339,
A4,35,OP4,-11.26221371,0.157457069,
A4,36,OP4,-11.34151459,0.198394805,
A4,37,OP4,-11.453372,0.206775993,
A4,38,OP4,-11.51231289,0.268073708,
A4,39,OP4,-11.62099934,0.279625893,
A4,40,OP4,-11.70051575,0.320348084,
A4,41,OP4,-11.8053484,0.335754037,
A4,42,OP4,-11.91211796,0.349223107,
A4,43,OP4,-12.25271702,0.128862649,
A4,44,OP4,-12.12083435,0.380983919,
A4,45,OP4,-12.28738689,0.334669977,
A4,46,OP4,-12.3185463,0.423749209,
A4,47,OP4,-12.53258896,0.329945147,
A4,48,OP4,-12.53749657,0.445276141,
A4,49,OP4,-12.6210289,0.48198244,
A4,50,OP4,-12.67131615,0.551933765,
A4,51,OP4,-12.84094048,0.502548099,
A4,52,OP4,-12.93109417,0.532633007,
A4,53,OP4,-13.04607391,0.537891865,
A4,54,OP4,-13.15701962,0.547184765,
A4,55,OP4,-13.36410999,0.46033299,
A4,56,OP4,-13.35684013,0.587841451,
A4,57,OP4,-13.54144001,0.523480177,
A4,58,OP4,-13.6765213,0.508637548,
A4,59,OP4,-13.66656208,0.638835371,
A4,60,OP4,-13.69190788,0.73372817,
A4,61,OP4,-13.92931557,0.616559088,
A4,62,OP4,-13.84714413,0.818969131,
A4,63,OP4,-14.01003075,0.776321113,
A4,64,OP4,-14.24644756,0.660142899,
A4,65,OP4,-14.17902279,0.847806335,
A4,66,OP4,-14.29718781,0.849879921,
A4,67,OP4,-14.5107832,0.756523132,
A4,68,OP4,-14.37765026,1.009894609,
A4,69,OP4,-14.57526398,0.932519555,
A4,70,OP4,-14.63849926,0.989522874,
A4,71,OP4,-14.7202692,1.027991533,
A4,72,OP4,-14.79735565,1.071143746,
A4,73,OP4,-14.80340862,1.185329318,
A4,74,OP4,-15.09602165,1.01295495,
A4,75,OP4,-15.0374155,1.191799641,
A4,76,OP4,-15.36893749,0.980516315,
A4,77,OP4,-15.23836422,1.231328249,
A4,78,OP4,-15.36926365,1.220667362,
A4,79,OP4,-15.41348934,1.296680331,
A4,80,OP4,-15.78829956,1.042108655,
A4,81,OP4,-15.65129948,1.299347401,
A4,82,OP4,-15.7567749,1.314110518,
A4,83,OP4,-15.93298435,1.258139729,
A4,84,OP4,-15.93235207,1.379010677,
A4,85,OP4,-15.99620438,1.43539691,
A4,86,OP4,-16.08703423,1.464805722,
A4,87,OP4,-16.31036377,1.361714721,
A4,88,OP4,-16.30055618,1.491760969,
A4,89,OP4,-16.4622364,1.45031929,
A4,90,OP4,-16.51057434,1.522220016,
A4,91,OP4,-16.70864868,1.444384336,
A4,92,OP4,-16.85360527,1.41966629,
A4,93,OP4,-16.64907265,1.744437575,
A4,94,OP4,-16.64977646,1.863972306,
A4,95,OP4,-17.04264069,1.591346741,
A4,96,OP4,-16.93284988,1.821376085,
A4,97,OP4,-16.82184601,2.052618742,
A4,98,OP4,-17.01999474,1.974708557,
A4,99,OP4,-17.19563866,1.919303179,
A4,100,OP4,-17.14142418,2.093756199,
A4,101,OP4,-17.33904266,2.016376495,
A4,102,OP4,-17.31228065,2.163377047,
A4,103,OP4,-17.73752403,1.858372211,
A4,104,OP4,-17.45783424,2.258300781,
A4,105,OP4,-17.75476456,2.081609011,
A4,106,OP4,-17.82734299,2.129269123,
A4,107,OP4,-17.64162636,2.435224295,
