Well,Cycle,FAM
E10,7,
E11,7,
E12,7,
F1,7,6794.617676
F2,7,436.3299561
F3,7,-1098.332397
F4,7,
F5,7,
F6,7,
F7,7,
F8,7,
F9,7,
F10,7,
F11,7,
F12,7,
G1,7,-558.4611206
G2,7,-1342.624023
G3,7,-1893.505127
G4,7,
G5,7,
G6,7,
G7,7,
G8,7,
G9,7,
G10,7,
G11,7,
G12,7,
H1,7,693.4240723
H2,7,-1334.024902
H3,7,-1297.015137
H4,7,
H5,7,
H6,7,
H7,7,
H8,7,
H9,7,
H10,7,
H11,7,
H12,7,
A1,8,81364.71875
A2,8,78716.92969
A3,8,79526.16406
A4,8,
A5,8,-1435.344238
A6,8,
A7,8,
A8,8,
A9,8,
A10,8,
A11,8,
A12,8,-946.7911377
B1,8,78181.96094
B2,8,67488.96875
B3,8,63807.89453
B4,8,
B5,8,-977.5738525
B6,8,
B7,8,
B8,8,
B9,8,
B10,8,
B11,8,
B12,8,-1261.136475
C1,8,75118.57031
C2,8,60600.98828
C3,8,54693.91406
C4,8,
C5,8,-840.5385742
C6,8,
C7,8,
C8,8,
C9,8,
C10,8,
C11,8,
C12,8,-1262.455078
D1,8,35122.35547
D2,8,34437.66406
D3,8,18637.74609
D4,8,
D5,8,
D6,8,
D7,8,
D8,8,
D9,8,
D10,8,
D11,8,
D12,8,
E1,8,20058.68164
E2,8,23366.83984
E3,8,3312.349121
E4,8,
E5,8,
E6,8,
E7,8,
E8,8,
E9,8,
E10,8,
E11,8,
E12,8,
F1,8,7991.194336
F2,8,717.0327759
F3,8,-1038.148315
F4,8,
F5,8,
F6,8,
F7,8,
F8,8,
F9,8,
F10,8,
F11,8,
F12,8,
G1,8,-447.7364502
G2,8,-1297.512451
G3,8,-1843.199951
G4,8,
G5,8,
G6,8,
G7,8,
G8,8,
G9,8,
G10,8,
G11,8,
G12,8,
H1,8,769.6643677
H2,8,-1277.701782
H3,8,-1241.88501
H4,8,
H5,8,
H6,8,
H7,8,
H8,8,
H9,8,
H10,8,
H11,8,
H12,8,
A1,9,84147.61719
A2,9,81634.95313
A3,9,82377.97656
A4,9,
A5,9,-1380.106201
A6,9,
A7,9,
A8,9,
A9,9,
A10,9,
A11,9,
A12,9,-883.3051758
B1,9,80341.92188
B2,9,70822.70313
B3,9,67671.40625
B4,9,
B5,9,-922.208252
B6,9,
B7,9,
B8,9,
B9,9,
B10,9,
B11,9,
B12,9,-1188.106323
C1,9,78385.17188
C2,9,64133.16797
C3,9,58600.12109
C4,9,
C5,9,-803.534668
C6,9,
C7,9,
C8,9,
C9,9,
C10,9,
C11,9,
C12,9,-1202.282104
D1,9,38289.16406
D2,9,37809.13281
D3,9,20392.66992
D4,9,
D5,9,
D6,9,
D7,9,
D8,9,
D9,9,
D10,9,
D11,9,
D12,9,
E1,9,22320.86523
E2,9,25970.02734
E3,9,3961.057861
E4,9,
E5,9,
E6,9,
E7,9,
E8,9,
E9,9,
E10,9,
E11,9,
E12,9,
F1,9,9107.198242
F2,9,900.5873413
F3,9,-984.4679565
F4,9,
F5,9,
F6,9,
F7,9,
F8,9,
F9,9,
F10,9,
F11,9,
F12,9,
G1,9,-326.088562
G2,9,-1202.715332
G3,9,-1789.839355
G4,9,
G5,9,
G6,9,
G7,9,
G8,9,
G9,9,
G10,9,
G11,9,
G12,9,
H1,9,852.1204834
H2,9,-1209.942749
H3,9,-1179.740723
H4,9,
H5,9,
H6,9,
H7,9,
H8,9,
H9,9,
H10,9,
H11,9,
H12,9,
A1,10,86508.35156
A2,10,84324.36719
A3,10,84794.23438
A4,10,
A5,10,-1335.220093
A6,10,
A7,10,
A8,10,
A9,10,
A10,10,
A11,10,
A12,10,-813.5779419
B1,10,82238.57813
B2,10,74564.84375
B3,10,71429.35938
